datetime,open,high,low,close,volume
2018-05-01 00:00:00,684.89,687.99,680.0,681.0,3273.9740600000005
2018-05-01 01:00:00,681.0,684.0,680.0,681.5,3589.7170499999993
2018-05-01 02:00:00,681.98,687.0,680.03,684.31,3242.35509
2018-05-01 03:00:00,684.32,685.19,677.0,679.97,3265.87044
2018-05-01 04:00:00,680.01,681.13,673.0,673.05,3936.8452199999997
2018-05-01 05:00:00,673.94,674.38,668.13,669.06,6402.361020000001
2018-05-01 06:00:00,669.69,673.7,662.2,664.5,6639.554919999999
2018-05-01 07:00:00,664.48,670.79,663.25,670.78,7091.030650000002
2018-05-01 08:00:00,670.78,671.2,630.8,632.92,18237.824970000005
2018-05-01 09:00:00,633.4,648.56,627.58,647.17,14965.216560000003
2018-05-01 10:00:00,647.17,655.85,638.0,651.0,9108.072629999995
2018-05-01 11:00:00,651.02,653.91,640.52,641.86,6747.615089999998
2018-05-01 12:00:00,641.2,658.21,640.21,654.02,5701.6927000000005
2018-05-01 13:00:00,654.06,657.0,648.22,651.6,3489.02223
2018-05-01 14:00:00,652.0,659.0,651.18,659.0,2898.1643099999997
2018-05-01 15:00:00,659.0,665.67,659.0,661.57,3976.8127499999996
2018-05-01 16:00:00,661.79,673.96,661.2,672.0,4587.987099999999
2018-05-01 17:00:00,671.64,675.0,665.0,666.83,5005.940409999999
2018-05-01 18:00:00,666.83,668.18,662.0,666.12,2817.4316
2018-05-01 19:00:00,666.12,670.05,657.64,659.69,3180.2261999999996
2018-05-01 20:00:00,659.09,661.47,642.92,653.07,8395.125250000001
2018-05-01 21:00:00,653.07,653.55,644.5,650.02,6793.457260000002
2018-05-01 22:00:00,650.68,651.61,644.01,647.38,3261.67918
2018-05-01 23:00:00,647.73,653.74,645.36,649.28,4038.959899999999
2018-05-02 00:00:00,649.97,659.88,649.34,657.85,3990.96088
2018-05-02 01:00:00,657.85,665.04,653.62,661.03,3804.8961
2018-05-02 02:00:00,659.78,662.63,656.0,660.28,2484.61811
2018-05-02 03:00:00,659.99,664.0,658.86,662.62,3600.068900000001
2018-05-02 04:00:00,662.65,669.99,661.57,665.11,2495.3448500000004
2018-05-02 05:00:00,665.11,672.01,665.0,671.01,3335.0156400000005
2018-05-02 06:00:00,671.02,675.5,671.02,672.0,6142.557399999998
2018-05-02 07:00:00,672.0,675.6,670.69,672.0,4064.9767299999994
2018-05-02 08:00:00,671.99,679.5,667.0,670.69,6162.29666
2018-05-02 09:00:00,670.51,674.42,663.0,674.01,3806.012100000001
2018-05-02 10:00:00,674.01,677.37,669.48,671.73,2745.167540000001
2018-05-02 11:00:00,671.73,674.73,666.0,674.49,3077.25657
2018-05-02 12:00:00,674.1,679.8,674.0,677.0,4003.8280000000004
2018-05-02 13:00:00,677.59,682.0,675.52,678.7,4016.42197
2018-05-02 14:00:00,678.5,688.12,677.7,684.54,4844.086580000001
2018-05-02 15:00:00,684.97,685.5,679.67,683.53,2916.14843
2018-05-02 16:00:00,683.52,684.97,677.0,679.99,3038.76589
2018-05-02 17:00:00,680.0,681.28,676.68,680.0,2599.060200000001
2018-05-02 18:00:00,680.0,686.68,679.01,683.9,3540.1848499999987
2018-05-02 19:00:00,683.93,685.75,680.86,683.12,2053.7265699999994
2018-05-02 20:00:00,683.0,683.0,672.53,673.0,5400.889250000002
2018-05-02 21:00:00,672.85,679.0,669.0,678.5,5136.872799999999
2018-05-02 22:00:00,678.31,680.97,675.06,677.98,5284.62822
2018-05-02 23:00:00,678.0,684.5,677.0,683.49,2592.508120000001
2018-05-03 00:00:00,683.0,684.19,679.87,681.45,2912.7386500000002
2018-05-03 01:00:00,681.42,682.02,678.3,679.42,2263.15979
2018-05-03 02:00:00,678.83,680.03,675.9,678.85,1838.92866
2018-05-03 03:00:00,677.84,679.0,672.23,678.45,2842.5748700000004
2018-05-03 04:00:00,678.39,683.7,675.0,683.68,2238.0988500000003
2018-05-03 05:00:00,683.08,690.0,682.35,686.5,5912.16431
2018-05-03 06:00:00,686.44,691.99,682.85,691.29,3607.2180599999997
2018-05-03 07:00:00,691.29,691.57,686.55,688.56,3352.7663600000005
2018-05-03 08:00:00,688.55,690.49,685.39,688.72,3754.39929
2018-05-03 09:00:00,688.72,695.52,687.91,693.87,5585.130300000002
2018-05-03 10:00:00,693.5,710.0,692.32,707.89,9514.06179
2018-05-03 11:00:00,708.87,724.5,707.89,717.99,16812.44626
2018-05-03 12:00:00,717.99,732.26,717.36,722.52,12793.14584
2018-05-03 13:00:00,722.52,726.49,711.0,713.97,10857.235869999999
2018-05-03 14:00:00,713.97,720.99,707.37,716.82,9821.305309999998
2018-05-03 15:00:00,716.8,728.21,715.32,722.6,5492.31351
2018-05-03 16:00:00,722.99,724.34,713.01,717.43,6135.892099999996
2018-05-03 17:00:00,717.46,718.96,711.01,716.0,4059.056109999999
2018-05-03 18:00:00,716.0,725.48,715.73,724.93,3930.2316400000004
2018-05-03 19:00:00,724.93,726.29,718.5,722.55,4006.41098
2018-05-03 20:00:00,722.2,748.28,722.2,741.79,13350.602099999996
2018-05-03 21:00:00,741.79,758.7,741.79,757.3,24300.16801000001
2018-05-03 22:00:00,757.0,757.49,742.0,749.86,14435.265980000002
2018-05-03 23:00:00,749.85,753.0,745.95,748.67,6263.314339999999
2018-05-04 00:00:00,748.67,771.38,748.0,770.92,11323.491189999995
2018-05-04 01:00:00,770.51,777.68,761.04,771.03,15591.796000000004
2018-05-04 02:00:00,771.06,772.85,753.0,762.58,14145.872150000001
2018-05-04 03:00:00,762.64,768.0,756.92,762.23,5884.232769999999
2018-05-04 04:00:00,762.83,762.84,754.0,758.2,4438.662480000001
2018-05-04 05:00:00,758.22,769.44,758.2,766.85,4956.449839999999
2018-05-04 06:00:00,767.05,786.0,766.0,783.93,8793.01986
2018-05-04 07:00:00,783.93,792.08,776.0,779.0,13174.705279999998
2018-05-04 08:00:00,779.0,780.0,756.91,763.5,15091.173869999997
2018-05-04 09:00:00,763.04,782.0,763.04,778.0,7530.557320000001
2018-05-04 10:00:00,778.0,782.79,774.54,777.43,5523.72088
2018-05-04 11:00:00,778.43,778.68,765.85,770.7,6215.26538
2018-05-04 12:00:00,770.99,779.95,770.71,778.98,3830.592690000001
2018-05-04 13:00:00,778.98,780.5,772.68,773.94,4439.9427
2018-05-04 14:00:00,773.94,787.0,772.0,780.23,6316.299300000001
2018-05-04 15:00:00,780.89,785.86,779.9,784.82,4877.996970000003
2018-05-04 16:00:00,784.82,808.0,784.59,805.74,16687.417569999998
2018-05-04 17:00:00,805.74,810.0,796.0,800.0,14461.30514
2018-05-04 18:00:00,800.94,806.32,795.94,796.19,6258.21459
2018-05-04 19:00:00,796.19,804.0,786.0,802.01,8272.876490000002
2018-05-04 20:00:00,802.27,805.0,795.0,797.81,6993.605050000001
2018-05-04 21:00:00,797.81,807.5,792.04,796.8,9078.260559999997
2018-05-04 22:00:00,796.58,799.98,788.01,796.5,6992.258119999999
2018-05-04 23:00:00,796.5,796.51,762.6,774.64,17862.196249999997
2018-05-05 00:00:00,775.16,786.2,765.7,779.48,12994.077599999999
2018-05-05 01:00:00,779.0,785.58,775.02,777.62,5968.612509999998
2018-05-05 02:00:00,777.0,777.62,770.12,776.81,3620.97956
2018-05-05 03:00:00,776.81,783.81,773.07,783.01,2756.5482
2018-05-05 04:00:00,783.01,789.88,782.04,788.9,4375.065729999999
2018-05-05 05:00:00,788.9,794.1,786.78,790.76,3666.62559
2018-05-05 06:00:00,790.61,794.11,781.0,794.0,2911.8521999999994
2018-05-05 07:00:00,794.11,795.0,783.1,785.99,3198.9578799999995
2018-05-05 08:00:00,785.8,799.0,781.56,795.94,4339.416050000001
2018-05-05 09:00:00,795.94,799.0,788.52,797.6,3876.3226099999997
2018-05-05 10:00:00,798.05,804.23,797.6,803.01,7099.34644
2018-05-05 11:00:00,803.01,806.0,798.3,805.3,4700.09036
